Index;metier;sexe;enfant_conduite_accompagne;tranche_revenus;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;Tranche_age;Tranche_tarif_devis
398;"webmestre";"M";False;"0 - 20 k";"Private";"z_SUV";0;16;"z_Highly Rural/ Rural";2022-04-14 05:13:00,000;"complet";"dev_premium";"80";"300 - 399"
410;"vendeur en magasin";"F";False;"0 - 20 k";"Private";"z_SUV";0;1;"Highly Urban/ Urban";2022-02-13 11:48:07,000;"complet";"dev_premium";"60 - 80";"300 - 399"
440;"enseignant de la conduite automobile et de la sécurité routière";"F";False;"0 - 20 k";"Commercial";"Pickup";0;1;"Highly Urban/ Urban";2022-03-19 01:46:03,000;"complet";"dev_premium";"25 - 40";"300 - 399"
486;"moniteur d'activités équestres";"M";False;"20k - 40k";"Commercial";"z_SUV";0;1;"z_Highly Rural/ Rural";2022-05-29 19:59:25,000;"complet";"dev_premium";"40 - 60";"300 - 399"
512;"mécanicien marine navigant";"M";False;"20k - 40k";"Commercial";"Pickup";0;7;"z_Highly Rural/ Rural";2022-05-18 13:33:24,000;"complet";"dev_premium";"40 - 60";"300 - 399"
524;"opticien-lunetier";"F";False;"20k - 40k";"Private";"Minivan";0;1;"Highly Urban/ Urban";2022-05-31 05:19:06,000;"complet";"dev_premium";"40 - 60";"300 - 399"
569;"consultant en conduite de changement";"F";False;"100k +";"Private";"Minivan";0;14;"Highly Urban/ Urban";2022-03-02 14:10:16,000;"complet";"dev_premium";"60 - 80";"300 - 399"
611;"opérateur prépresse";"F";False;"80k - 100k";"Private";"z_SUV";0;15;"z_Highly Rural/ Rural";2022-01-07 05:37:50,000;"complet";"dev_premium";"25 - 40";"300 - 399"
679;"community manager";"M";False;"100k +";"Commercial";"Van";0;5;"Highly Urban/ Urban";2022-05-13 22:19:50,000;"complet";"dev_premium";"18 - 25";"300 - 399"
729;"syndic de copropriété";"F";False;"40k - 60k";"Private";"Minivan";0;0;"Highly Urban/ Urban";2022-03-26 22:33:21,000;"complet";"dev_premium";"40 - 60";"300 - 399"
735;"ascensoriste";"M";False;"40k - 60k";"Private";"z_SUV";0;1;"Highly Urban/ Urban";2022-01-07 22:44:04,000;"complet";"dev_premium";"18 - 25";"300 - 399"
757;"technicien automobile";"F";False;"20k - 40k";"Private";"Minivan";0;8;"Highly Urban/ Urban";2022-05-21 17:50:08,000;"complet";"dev_premium";"40 - 60";"300 - 399"
779;"professeur-documentaliste";"F";False;"60k - 80k";"Commercial";"Minivan";0;1;"z_Highly Rural/ Rural";2022-04-08 06:27:39,000;"complet";"dev_premium";"60 - 80";"300 - 399"
915;"tapissier d'ameublement";"F";False;"100k +";"Commercial";"Panel Truck";0;7;"Highly Urban/ Urban";2022-02-22 03:31:40,000;"complet";"dev_premium";"60 - 80";"300 - 399"
945;"technicien forestier forestière";"M";True;"20k - 40k";"Commercial";"Pickup";0;7;"Highly Urban/ Urban";2022-02-15 06:50:36,000;"complet";"dev_premium";"60 - 80";"300 - 399"
1090;"halieute";"M";False;"60k - 80k";"Commercial";"Panel Truck";0;12;"Highly Urban/ Urban";2022-03-27 20:38:49,000;"complet";"dev_premium";"";"300 - 399"
1;"animateur du patrimoine";"F";False;"100k +";"Commercial";"Sports Car";0;7;"Highly Urban/ Urban";2022-02-25 16:13:38,000;"complet";"dev_integral";"18 - 25";"300 - 399"
15;"ingénieur opticien opticienne";"M";False;"20k - 40k";"Private";"Minivan";0;1;"Highly Urban/ Urban";2022-04-15 13:09:59,000;"complet";"dev_integral";"60 - 80";"300 - 399"
17;"conseiller en fusions-acquisitions";"F";False;"100k +";"Private";"z_SUV";0;15;"Highly Urban/ Urban";2022-04-12 01:20:55,000;"complet";"dev_integral";"40 - 60";"300 - 399"
36;"ingénieur de recherche clinique et épidémiologique";"F";False;"20k - 40k";"Private";"z_SUV";0;9;"Highly Urban/ Urban";2022-02-08 09:59:30,000;"complet";"dev_integral";"60 - 80";"300 - 399"
45;"commerçant en alimentation";"M";False;"60k - 80k";"Private";"z_SUV";0;13;"Highly Urban/ Urban";2022-01-02 20:05:48,000;"complet";"dev_integral";"40 - 60";"300 - 399"
71;"ingénieur frigoriste";"F";False;"60k - 80k";"Private";"z_SUV";0;9;"Highly Urban/ Urban";2022-01-13 03:29:34,000;"complet";"dev_integral";"";"300 - 399"
100;"conducteur de bus ou d'autocar";"M";False;"60k - 80k";"Commercial";"z_SUV";0;1;"Highly Urban/ Urban";2022-02-28 07:30:01,000;"complet";"dev_integral";"";"300 - 399"
102;"conducteur de travaux";"F";False;"40k - 60k";"Private";"Minivan";0;1;"Highly Urban/ Urban";2022-01-07 19:37:36,000;"complet";"dev_integral";"18 - 25";"300 - 399"
107;"chef de projet sites et sols pollués";"F";True;"0 - 20 k";"Private";"Minivan";0;5;"Highly Urban/ Urban";2022-01-02 00:52:24,000;"complet";"dev_integral";"60 - 80";"300 - 399"
118;"brodeur";"F";True;"0 - 20 k";"Private";"Pickup";0;7;"Highly Urban/ Urban";2022-01-02 23:14:48,000;"complet";"dev_integral";"60 - 80";"300 - 399"
120;"expert-comptable";"M";False;"60k - 80k";"Private";"Minivan";0;15;"Highly Urban/ Urban";2022-05-29 09:22:38,000;"complet";"dev_integral";"";"300 - 399"
121;"surveillant de centre pénitentiaire";"M";False;"0 - 20 k";"Private";"z_SUV";0;13;"z_Highly Rural/ Rural";2022-02-09 09:54:45,000;"complet";"dev_integral";"60 - 80";"300 - 399"
123;"consultant en validation";"M";False;"100k +";"Private";"z_SUV";0;12;"Highly Urban/ Urban";2022-05-06 08:05:25,000;"complet";"dev_integral";"60 - 80";"300 - 399"
124;"viticulteur";"F";False;"60k - 80k";"Private";"Pickup";0;11;"Highly Urban/ Urban";2022-01-25 10:57:34,000;"complet";"dev_integral";"40 - 60";"300 - 399"
136;"modéliste";"F";False;"80k - 100k";"Private";"Minivan";0;16;"Highly Urban/ Urban";2022-05-01 13:47:03,000;"complet";"dev_integral";"80";"300 - 399"
143;"infirmier";"F";False;"100k +";"Private";"Pickup";0;12;"Highly Urban/ Urban";2022-01-05 05:06:12,000;"complet";"dev_integral";"";"300 - 399"
147;"technicien biologiste";"M";False;"80k - 100k";"Private";"z_SUV";0;7;"Highly Urban/ Urban";2022-02-20 18:23:57,000;"complet";"dev_integral";"60 - 80";"300 - 399"
151;"agent de sûreté ferroviaire";"M";False;"40k - 60k";"Private";"Minivan";0;10;"Highly Urban/ Urban";2022-02-19 07:35:30,000;"complet";"dev_integral";"60 - 80";"300 - 399"
156;"responsable des ressources humaines";"M";True;"100k +";"Commercial";"Van";0;12;"Highly Urban/ Urban";2022-01-14 04:38:54,000;"complet";"dev_integral";"80";"300 - 399"
158;"enseignant spécialisé spécialisée";"M";False;"60k - 80k";"Private";"Pickup";0;15;"Highly Urban/ Urban";2022-04-17 13:11:36,000;"complet";"dev_integral";"60 - 80";"300 - 399"
159;"animalier de laboratoire";"M";False;"100k +";"Commercial";"Minivan";0;9;"z_Highly Rural/ Rural";2022-05-14 20:36:25,000;"complet";"dev_integral";"80";"300 - 399"
164;"directeur de magasin à grande surface";"F";False;"40k - 60k";"Private";"Minivan";0;14;"Highly Urban/ Urban";2022-04-03 03:15:39,000;"complet";"dev_integral";"60 - 80";"300 - 399"
171;"entraîneur sportif sportive";"F";False;"80k - 100k";"Commercial";"Minivan";0;1;"Highly Urban/ Urban";2022-04-06 01:42:35,000;"complet";"dev_integral";"";"300 - 399"
173;"mécanicien et technicien";"M";False;"80k - 100k";"Commercial";"Minivan";0;11;"z_Highly Rural/ Rural";2022-02-16 07:07:53,000;"complet";"dev_integral";"40 - 60";"300 - 399"
174;"développeur d'applications mobiles";"F";False;"60k - 80k";"Private";"Minivan";0;20;"Highly Urban/ Urban";2022-05-21 22:01:47,000;"complet";"dev_integral";"40 - 60";"300 - 399"
183;"hydrogéologue";"M";False;"100k +";"Commercial";"Panel Truck";0;13;"z_Highly Rural/ Rural";2022-01-08 11:44:49,000;"complet";"dev_integral";"40 - 60";"300 - 399"
187;"animateur de bassin versant";"F";False;"20k - 40k";"Private";"z_SUV";0;1;"Highly Urban/ Urban";2022-03-23 18:01:21,000;"complet";"dev_integral";"60 - 80";"300 - 399"
188;"agriculteur";"F";False;"0 - 20 k";"Private";"z_SUV";0;9;"Highly Urban/ Urban";2022-05-24 20:26:04,000;"complet";"dev_integral";"18 - 25";"300 - 399"
193;"palefrenier";"F";False;"100k +";"Private";"Sports Car";0;7;"z_Highly Rural/ Rural";2022-01-30 11:59:40,000;"complet";"dev_integral";"60 - 80";"300 - 399"
195;"installateur en télécoms";"F";False;"100k +";"Private";"z_SUV";0;15;"Highly Urban/ Urban";2022-02-11 19:58:24,000;"complet";"dev_integral";"40 - 60";"300 - 399"
199;"chirurgien-dentiste";"F";False;"20k - 40k";"Private";"z_SUV";0;4;"Highly Urban/ Urban";2022-05-25 06:02:32,000;"complet";"dev_integral";"40 - 60";"300 - 399"
210;"architecte des systèmes d'information";"F";False;"20k - 40k";"Private";"z_SUV";0;5;"z_Highly Rural/ Rural";2022-04-03 22:13:58,000;"complet";"dev_integral";"40 - 60";"300 - 399"
221;"assistant de service social";"M";False;"100k +";"Private";"Sports Car";0;16;"Highly Urban/ Urban";2022-01-22 06:45:54,000;"complet";"dev_integral";"60 - 80";"300 - 399"
222;"inspecteur de banque";"M";True;"0 - 20 k";"Commercial";"Pickup";0;18;"z_Highly Rural/ Rural";2022-05-07 03:05:47,000;"complet";"dev_integral";"60 - 80";"300 - 399"
225;"conducteur opérateur opératrice de scierie";"F";False;"20k - 40k";"Commercial";"Minivan";0;1;"Highly Urban/ Urban";2022-05-13 15:01:42,000;"complet";"dev_integral";"80";"300 - 399"
248;"gestionnaire de contrats informatiques";"M";False;"0 - 20 k";"Commercial";"Van";0;1;"z_Highly Rural/ Rural";2022-01-13 11:51:51,000;"complet";"dev_integral";"";"300 - 399"
249;"technicien de maintenance en informatique";"M";False;"20k - 40k";"Private";"Pickup";0;10;"Highly Urban/ Urban";2022-04-08 01:47:31,000;"complet";"dev_integral";"25 - 40";"300 - 399"
255;"officier marinier marinière";"M";False;"20k - 40k";"Private";"Minivan";0;8;"Highly Urban/ Urban";2022-04-26 23:23:10,000;"complet";"dev_integral";"";"300 - 399"
257;"libraire";"M";False;"0 - 20 k";"Private";"Minivan";0;16;"Highly Urban/ Urban";2022-02-06 07:26:48,000;"complet";"dev_integral";"40 - 60";"300 - 399"
269;"éducateur sportif sportive des activités aquatiques et de la natation";"F";False;"60k - 80k";"Private";"z_SUV";0;12;"Highly Urban/ Urban";2022-01-07 09:45:07,000;"complet";"dev_integral";"60 - 80";"300 - 399"
281;"artiste de cirque";"M";False;"60k - 80k";"Private";"Minivan";0;12;"Highly Urban/ Urban";2022-05-10 05:21:33,000;"complet";"dev_integral";"40 - 60";"300 - 399"
283;"assistant en ressources humaines";"F";False;"60k - 80k";"Private";"Sports Car";0;12;"z_Highly Rural/ Rural";2022-03-28 12:26:43,000;"complet";"dev_integral";"";"300 - 399"
285;"brodeur";"F";False;"60k - 80k";"Private";"z_SUV";0;1;"Highly Urban/ Urban";2022-02-21 23:21:11,000;"complet";"dev_integral";"80";"300 - 399"
287;"programmiste";"F";False;"20k - 40k";"Commercial";"Pickup";0;10;"z_Highly Rural/ Rural";2022-01-25 15:18:53,000;"complet";"dev_integral";"25 - 40";"300 - 399"
292;"juriste en droit social";"M";False;"40k - 60k";"Private";"Pickup";0;8;"Highly Urban/ Urban";2022-03-22 07:46:42,000;"complet";"dev_integral";"";"300 - 399"
294;"ingénieur hydrogéomorphologue";"M";False;"60k - 80k";"Commercial";"Van";0;4;"Highly Urban/ Urban";2022-05-18 22:10:27,000;"complet";"dev_integral";"";"300 - 399"
296;"ingénieur maintenance aéronautique";"F";False;"80k - 100k";"Private";"z_SUV";0;11;"Highly Urban/ Urban";2022-05-26 22:40:54,000;"complet";"dev_integral";"40 - 60";"300 - 399"
316;"élagueur";"M";False;"0 - 20 k";"Private";"Minivan";0;1;"Highly Urban/ Urban";2022-02-17 11:37:37,000;"complet";"dev_integral";"18 - 25";"300 - 399"
320;"responsable du back office";"M";True;"0 - 20 k";"Private";"Pickup";0;9;"z_Highly Rural/ Rural";2022-03-03 06:41:02,000;"complet";"dev_integral";"80";"300 - 399"
321;"tapissier d'ameublement";"F";False;"100k +";"Private";"Van";0;14;"Highly Urban/ Urban";2022-01-29 15:32:16,000;"complet";"dev_integral";"40 - 60";"300 - 399"
322;"accompagnateur en moyenne montagne";"F";True;"0 - 20 k";"Private";"z_SUV";0;4;"z_Highly Rural/ Rural";2022-04-29 12:31:08,000;"complet";"dev_integral";"80";"300 - 399"
323;"concepteur de niveaux de jeu web";"F";False;"60k - 80k";"Private";"Sports Car";0;6;"Highly Urban/ Urban";2022-01-11 18:54:43,000;"complet";"dev_integral";"60 - 80";"300 - 399"
338;"chargé d'études en marketing";"M";False;"40k - 60k";"Commercial";"Pickup";0;7;"Highly Urban/ Urban";2022-05-08 12:04:30,000;"complet";"dev_integral";"40 - 60";"300 - 399"
342;"matelot à la pêche";"M";False;"40k - 60k";"Commercial";"Sports Car";0;1;"Highly Urban/ Urban";2022-01-30 05:24:39,000;"complet";"dev_integral";"60 - 80";"300 - 399"
350;"viticulteur";"M";False;"0 - 20 k";"Private";"Sports Car";0;1;"z_Highly Rural/ Rural";2022-01-26 05:23:46,000;"complet";"dev_integral";"25 - 40";"300 - 399"
352;"ingénieur gaz";"M";False;"40k - 60k";"Private";"Minivan";0;13;"Highly Urban/ Urban";2022-01-09 12:44:34,000;"complet";"dev_integral";"25 - 40";"300 - 399"
355;"océanologue";"M";False;"80k - 100k";"Commercial";"Panel Truck";0;1;"z_Highly Rural/ Rural";2022-03-02 15:25:05,000;"complet";"dev_integral";"60 - 80";"300 - 399"
358;"coordonnateur d'études cliniques";"M";False;"100k +";"Commercial";"Panel Truck";0;19;"Highly Urban/ Urban";2022-05-29 01:33:19,000;"complet";"dev_integral";"25 - 40";"300 - 399"
372;"chef de publicité";"M";False;"0 - 20 k";"Private";"Minivan";0;0;"Highly Urban/ Urban";2022-01-27 16:05:26,000;"complet";"dev_integral";"40 - 60";"300 - 399"
378;"ingénieur biomédical biomédicale";"M";False;"60k - 80k";"Private";"Minivan";0;21;"Highly Urban/ Urban";2022-05-29 04:55:24,000;"complet";"dev_integral";"18 - 25";"300 - 399"
380;"professeur de mathématiques ou de physique-chimie";"F";False;"80k - 100k";"Private";"Minivan";0;0;"Highly Urban/ Urban";2022-04-18 14:58:12,000;"complet";"dev_integral";"40 - 60";"300 - 399"
402;"installateur en télécoms";"M";False;"100k +";"Commercial";"Panel Truck";0;5;"Highly Urban/ Urban";2022-04-07 15:44:29,000;"complet";"dev_integral";"";"300 - 399"
420;"designer d'interaction";"F";False;"0 - 20 k";"Commercial";"Panel Truck";0;1;"Highly Urban/ Urban";2022-01-02 23:38:39,000;"complet";"dev_integral";"25 - 40";"300 - 399"
437;"coffreur-boiseur";"F";False;"40k - 60k";"Private";"Van";0;12;"Highly Urban/ Urban";2022-04-19 19:52:57,000;"complet";"dev_integral";"40 - 60";"300 - 399"
441;"guichetier";"F";False;"0 - 20 k";"Private";"Pickup";0;0;"Highly Urban/ Urban";2022-03-10 21:24:19,000;"complet";"dev_integral";"60 - 80";"300 - 399"
442;"assistant en ressources humaines";"F";False;"20k - 40k";"Commercial";"Pickup";0;19;"Highly Urban/ Urban";2022-05-08 21:30:12,000;"complet";"dev_integral";"40 - 60";"300 - 399"
477;"chargé d'études ressources humaines";"M";False;"100k +";"Private";"Minivan";0;11;"Highly Urban/ Urban";2022-04-15 13:43:31,000;"complet";"dev_integral";"25 - 40";"300 - 399"
479;"enseignant spécialisé spécialisée";"F";False;"20k - 40k";"Private";"z_SUV";0;1;"z_Highly Rural/ Rural";2022-05-02 23:12:44,000;"complet";"dev_integral";"60 - 80";"300 - 399"
483;"matelot de la marine marchande";"M";False;"20k - 40k";"Private";"Minivan";0;20;"Highly Urban/ Urban";2022-05-30 04:03:38,000;"complet";"dev_integral";"60 - 80";"300 - 399"
497;"chef de rayon";"M";False;"100k +";"Private";"Pickup";0;19;"Highly Urban/ Urban";2022-03-17 06:56:10,000;"complet";"dev_integral";"40 - 60";"300 - 399"
502;"administrateur de spectacle";"F";False;"100k +";"Private";"z_SUV";0;7;"Highly Urban/ Urban";2022-05-10 23:39:15,000;"complet";"dev_integral";"";"300 - 399"
505;"masseur";"M";False;"40k - 60k";"Private";"Minivan";0;1;"z_Highly Rural/ Rural";2022-03-18 08:18:42,000;"complet";"dev_integral";"18 - 25";"300 - 399"
514;"mécanicien d'entretien d'avion";"M";False;"100k +";"Private";"Minivan";0;8;"Highly Urban/ Urban";2022-03-25 07:11:37,000;"complet";"dev_integral";"40 - 60";"300 - 399"
517;"responsable de la collecte des déchets ménagers";"M";False;"0 - 20 k";"Private";"Minivan";0;22;"Highly Urban/ Urban";2022-02-23 20:23:47,000;"complet";"dev_integral";"25 - 40";"300 - 399"
519;"ingénieur cloud computing";"M";False;"40k - 60k";"Private";"Minivan";0;0;"Highly Urban/ Urban";2022-02-25 05:54:55,000;"complet";"dev_integral";"60 - 80";"300 - 399"
521;"garde à cheval";"M";True;"0 - 20 k";"Commercial";"Minivan";0;4;"z_Highly Rural/ Rural";2022-04-01 01:13:47,000;"complet";"dev_integral";"";"300 - 399"
527;"conseiller sportif sportive en salle de remise en forme";"M";False;"80k - 100k";"Commercial";"Pickup";0;4;"z_Highly Rural/ Rural";2022-02-24 11:57:19,000;"complet";"dev_integral";"80";"300 - 399"
542;"géomètre-topographe";"M";False;"20k - 40k";"Private";"Minivan";0;17;"z_Highly Rural/ Rural";2022-03-27 16:30:18,000;"complet";"dev_integral";"80";"300 - 399"
543;"ingénieur process aval";"F";False;"60k - 80k";"Private";"Sports Car";0;1;"Highly Urban/ Urban";2022-02-02 14:25:47,000;"complet";"dev_integral";"40 - 60";"300 - 399"
544;"céramiste";"F";True;"60k - 80k";"Commercial";"Panel Truck";0;14;"z_Highly Rural/ Rural";2022-05-22 06:17:46,000;"complet";"dev_integral";"80";"300 - 399"
550;"psychanalyste";"M";False;"60k - 80k";"Private";"z_SUV";0;18;"Highly Urban/ Urban";2022-03-22 18:25:21,000;"complet";"dev_integral";"25 - 40";"300 - 399"
551;"directeur artistique";"M";False;"0 - 20 k";"Private";"Sports Car";0;20;"Highly Urban/ Urban";2022-04-14 03:08:54,000;"complet";"dev_integral";"60 - 80";"300 - 399"
553;"ingénieur en construction navale";"M";False;"40k - 60k";"Commercial";"z_SUV";0;5;"Highly Urban/ Urban";2022-01-15 01:30:33,000;"complet";"dev_integral";"40 - 60";"300 - 399"
556;"ascensoriste";"M";False;"60k - 80k";"Private";"Minivan";0;0;"Highly Urban/ Urban";2022-04-11 23:33:50,000;"complet";"dev_integral";"";"300 - 399"
557;"statisticien en géomarketing";"F";False;"0 - 20 k";"Commercial";"Panel Truck";0;0;"Highly Urban/ Urban";2022-05-18 18:08:52,000;"complet";"dev_integral";"60 - 80";"300 - 399"
560;"responsable de laboratoire de contrôle en biologie";"M";False;"0 - 20 k";"Private";"Sports Car";0;10;"Highly Urban/ Urban";2022-04-13 11:26:04,000;"complet";"dev_integral";"";"300 - 399"
582;"responsable des ressources humaines";"M";False;"0 - 20 k";"Private";"Minivan";0;7;"z_Highly Rural/ Rural";2022-02-18 12:19:11,000;"complet";"dev_integral";"80";"300 - 399"
583;"boulanger";"F";False;"80k - 100k";"Commercial";"Minivan";0;0;"Highly Urban/ Urban";2022-01-12 18:29:46,000;"complet";"dev_integral";"25 - 40";"300 - 399"
592;"journaliste reporter d'images";"M";False;"80k - 100k";"Private";"z_SUV";0;14;"Highly Urban/ Urban";2022-04-08 00:39:02,000;"complet";"dev_integral";"";"300 - 399"
593;"éducateur spécialisé spécialisée";"F";False;"40k - 60k";"Private";"z_SUV";0;6;"Highly Urban/ Urban";2022-04-25 11:54:45,000;"complet";"dev_integral";"80";"300 - 399"
601;"ingénieur en imagerie médicale";"F";True;"0 - 20 k";"Private";"Minivan";0;13;"Highly Urban/ Urban";2022-03-10 05:03:17,000;"complet";"dev_integral";"40 - 60";"300 - 399"
609;"carrossier";"M";False;"80k - 100k";"Private";"Minivan";0;7;"Highly Urban/ Urban";2022-03-03 11:24:14,000;"complet";"dev_integral";"60 - 80";"300 - 399"
610;"décolleteur";"M";False;"100k +";"Private";"Minivan";0;16;"Highly Urban/ Urban";2022-02-07 03:36:40,000;"complet";"dev_integral";"18 - 25";"300 - 399"
613;"conseiller en fusions-acquisitions";"M";False;"100k +";"Private";"Van";0;18;"Highly Urban/ Urban";2022-04-07 19:50:06,000;"complet";"dev_integral";"";"300 - 399"
616;"militaire du rang de l'armée de terre";"M";True;"20k - 40k";"Private";"Sports Car";0;11;"Highly Urban/ Urban";2022-03-10 08:37:49,000;"complet";"dev_integral";"40 - 60";"300 - 399"
624;"lad-jockey, lad-driver";"M";False;"40k - 60k";"Private";"Van";0;18;"Highly Urban/ Urban";2022-04-28 17:36:46,000;"complet";"dev_integral";"";"300 - 399"
630;"webmestre";"M";False;"40k - 60k";"Private";"Pickup";0;8;"Highly Urban/ Urban";2022-03-03 12:44:04,000;"complet";"dev_integral";"";"300 - 399"
635;"collaborateur de notaire de notaire";"F";False;"80k - 100k";"Commercial";"Panel Truck";0;0;"z_Highly Rural/ Rural";2022-02-08 07:38:08,000;"complet";"dev_integral";"18 - 25";"300 - 399"
640;"employé de chai";"F";False;"0 - 20 k";"Private";"Minivan";0;7;"Highly Urban/ Urban";2022-03-01 17:16:32,000;"complet";"dev_integral";"";"300 - 399"
644;"opérateur de raffinerie";"F";False;"60k - 80k";"Private";"z_SUV";0;1;"Highly Urban/ Urban";2022-02-13 20:08:36,000;"complet";"dev_integral";"";"300 - 399"
647;"mixeur son";"M";False;"100k +";"Commercial";"Pickup";0;16;"Highly Urban/ Urban";2022-02-10 01:30:27,000;"complet";"dev_integral";"25 - 40";"300 - 399"
648;"militaire technicien de l'air (MTA)";"F";False;"80k - 100k";"Private";"Sports Car";0;0;"Highly Urban/ Urban";2022-03-17 21:10:27,000;"complet";"dev_integral";"25 - 40";"300 - 399"
650;"professeur d'éducation physique et sportive (EPS)";"F";False;"40k - 60k";"Private";"z_SUV";0;1;"Highly Urban/ Urban";2022-01-16 23:49:30,000;"complet";"dev_integral";"40 - 60";"300 - 399"
653;"ingénieur d'études en sûreté nucléaire";"M";False;"40k - 60k";"Commercial";"z_SUV";0;1;"Highly Urban/ Urban";2022-03-11 05:31:41,000;"complet";"dev_integral";"40 - 60";"300 - 399"
654;"technicien thermicien thermicienne";"F";False;"20k - 40k";"Private";"z_SUV";0;1;"z_Highly Rural/ Rural";2022-01-10 23:47:26,000;"complet";"dev_integral";"60 - 80";"300 - 399"
662;"hydraulicien";"M";False;"20k - 40k";"Private";"Sports Car";0;6;"Highly Urban/ Urban";2022-03-07 13:13:58,000;"complet";"dev_integral";"40 - 60";"300 - 399"
665;"moniteur-éducateur";"M";False;"60k - 80k";"Private";"Minivan";0;12;"Highly Urban/ Urban";2022-03-22 17:47:29,000;"complet";"dev_integral";"";"300 - 399"
697;"contrôleur de gestion";"M";True;"20k - 40k";"Private";"z_SUV";0;5;"z_Highly Rural/ Rural";2022-05-18 20:23:08,000;"complet";"dev_integral";"40 - 60";"300 - 399"
698;"ingénieur forestier forestière";"F";False;"40k - 60k";"Commercial";"Minivan";0;9;"z_Highly Rural/ Rural";2022-02-25 18:38:41,000;"complet";"dev_integral";"25 - 40";"300 - 399"
714;"responsable e-CRM";"M";False;"60k - 80k";"Commercial";"Panel Truck";0;9;"Highly Urban/ Urban";2022-02-23 06:59:14,000;"complet";"dev_integral";"18 - 25";"300 - 399"
715;"staffeur-ornemaniste";"F";False;"80k - 100k";"Private";"z_SUV";0;15;"Highly Urban/ Urban";2022-03-21 16:57:22,000;"complet";"dev_integral";"18 - 25";"300 - 399"
726;"chef de projet éolien";"M";False;"20k - 40k";"Commercial";"Pickup";0;3;"z_Highly Rural/ Rural";2022-04-17 18:55:21,000;"complet";"dev_integral";"60 - 80";"300 - 399"
733;"directeur de création";"M";True;"80k - 100k";"Commercial";"Minivan";0;6;"Highly Urban/ Urban";2022-04-08 12:42:23,000;"complet";"dev_integral";"40 - 60";"300 - 399"
738;"conseiller en assurances";"M";False;"0 - 20 k";"Private";"z_SUV";0;1;"z_Highly Rural/ Rural";2022-03-09 14:05:41,000;"complet";"dev_integral";"60 - 80";"300 - 399"
741;"salesman";"M";False;"20k - 40k";"Private";"Minivan";0;1;"z_Highly Rural/ Rural";2022-01-05 01:49:38,000;"complet";"dev_integral";"40 - 60";"300 - 399"
743;"ingénieur d'application";"M";False;"0 - 20 k";"Commercial";"z_SUV";0;12;"z_Highly Rural/ Rural";2022-04-13 11:44:32,000;"complet";"dev_integral";"60 - 80";"300 - 399"
745;"conducteur de travaux  agricoles";"M";False;"100k +";"Commercial";"z_SUV";0;8;"Highly Urban/ Urban";2022-03-19 08:30:16,000;"complet";"dev_integral";"25 - 40";"300 - 399"
756;"préparateur en pharmacie";"F";False;"80k - 100k";"Private";"z_SUV";0;17;"Highly Urban/ Urban";2022-05-30 14:54:36,000;"complet";"dev_integral";"40 - 60";"300 - 399"
758;"spécialiste de l'accessibilité numérique";"M";False;"80k - 100k";"Commercial";"Pickup";0;10;"Highly Urban/ Urban";2022-01-01 05:44:52,000;"complet";"dev_integral";"";"300 - 399"
761;"bactériologiste";"M";True;"0 - 20 k";"Private";"Sports Car";0;1;"Highly Urban/ Urban";2022-01-14 11:52:33,000;"complet";"dev_integral";"60 - 80";"300 - 399"
772;"restaurateur d'oeuvres d'art";"F";False;"80k - 100k";"Commercial";"Panel Truck";0;17;"Highly Urban/ Urban";2022-02-24 12:40:25,000;"complet";"dev_integral";"25 - 40";"300 - 399"
785;"responsable de fabrication en chimie";"M";False;"40k - 60k";"Commercial";"Van";0;13;"Highly Urban/ Urban";2022-01-09 22:09:48,000;"complet";"dev_integral";"80";"300 - 399"
790;"électromécanicien en remontées mécaniques";"F";False;"0 - 20 k";"Private";"z_SUV";0;9;"Highly Urban/ Urban";2022-04-03 02:20:45,000;"complet";"dev_integral";"25 - 40";"300 - 399"
792;"chargé de communication interne";"M";False;"80k - 100k";"Private";"Pickup";0;13;"Highly Urban/ Urban";2022-03-19 17:09:26,000;"complet";"dev_integral";"80";"300 - 399"
794;"cordonnier";"F";False;"0 - 20 k";"Private";"Minivan";0;1;"Highly Urban/ Urban";2022-02-23 04:42:44,000;"complet";"dev_integral";"40 - 60";"300 - 399"
799;"technicien packaging";"F";False;"0 - 20 k";"Private";"z_SUV";0;16;"Highly Urban/ Urban";2022-01-16 04:07:39,000;"complet";"dev_integral";"60 - 80";"300 - 399"
803;"chef de projet sites et sols pollués";"M";False;"60k - 80k";"Commercial";"Panel Truck";0;1;"Highly Urban/ Urban";2022-05-28 06:19:28,000;"complet";"dev_integral";"40 - 60";"300 - 399"
806;"ingénieur du son";"M";False;"0 - 20 k";"Private";"Pickup";0;7;"Highly Urban/ Urban";2022-03-10 08:41:18,000;"complet";"dev_integral";"40 - 60";"300 - 399"
808;"gouvernant";"F";False;"60k - 80k";"Private";"Minivan";0;22;"Highly Urban/ Urban";2022-04-09 17:10:50,000;"complet";"dev_integral";"40 - 60";"300 - 399"
821;"régisseur général générale cinéma";"F";False;"80k - 100k";"Private";"Minivan";0;1;"Highly Urban/ Urban";2022-03-27 17:51:21,000;"complet";"dev_integral";"40 - 60";"300 - 399"
826;"pisteur secouriste";"F";False;"0 - 20 k";"Private";"z_SUV";0;1;"z_Highly Rural/ Rural";2022-01-29 23:20:08,000;"complet";"dev_integral";"";"300 - 399"
