id;code_dep_code_com;no_voie;b_t_q;type_voie;voie;surface_carrez;surface_reelle;nb_pieces;type_local
9896;13 - 28;1691;;CHE;DES SEVERIERS;66,1;67;3;Appartement
9897;13 - 212;36;;AV;DE SAINT BARNABE;55,95;48;3;Appartement
9898;13 - 213;31;;PARC;DES VIEUX CYPRES;77,3;68;4;Maison
9899;13 - 213;112;;RUE;ALPHONSE DAUDET;52,76;50;2;Appartement
9900;13 - 214;70;;AV;CLAUDE MONET;66,11;65;3;Appartement
9901;13 - 215;188;;AV;ROGER SALENGRO;38,86;33;2;Appartement
9902;16 - 28;12;;RUE;DU DOCTEUR MESLIER;99,85;104;4;Appartement
9903;18 - 33;17;;RUE;HENRI SELLIER;14,38;19;1;Appartement
9904;18 - 197;22;;PL;DU MARCHE;55,17;54;2;Appartement
9905;22 - 186;1;;RUE;DU PONT NEUF;28,79;33;2;Appartement
9906;25 - 56;39;;RUE;DU VERNOIS;65,99;67;4;Appartement
9907;25 - 578;2;;RUE;DU COLLEGE;75,9;72;3;Appartement
9908;26 - 58;5;;AV;DES BRUYERES;102,62;102;5;Appartement
9909;26 - 281;2;;RUE;VICTOR BOIRON;60,66;57;3;Appartement
9910;26 - 281;28;;QUAI;CHOPIN;48,15;48;2;Appartement
9911;27 - 119;1;B;RUE;DU BOIS;134,13;100;4;Maison
9912;29 - 19;53;;RUE;DU DOURJACQ;42,39;42;2;Appartement
9913;29 - 19;13;;RUE;FREGATE LA THETIS;66,35;64;4;Appartement
9914;2A - 4;12;;CRS;GRANDVAL;59;62;2;Appartement
9915;2A - 35;5168;;;L UOMO;44,02;45;2;Appartement
9916;2A - 228;5087;C;;SORBELLA;91,51;96;4;Maison
9917;2A - 272;97;;PL;DE LA LIBERATION;57,61;55;3;Appartement
9918;30 - 133;430;;AV;DU PALAIS DE LA MER;20,06;19;1;Appartement
9919;30 - 133;368;A;AV;JEAN JAURES;18,76;19;1;Appartement
9920;30 - 189;1;;RUE;EMILE KAHN;78,76;79;5;Appartement
9921;31 - 555;7;;ALL;GABRIELLE DE COIGNARD;20,99;21;1;Appartement
9922;33 - 63;88;;RUE;DES SABLIERES;68,76;70;3;Appartement
9923;33 - 63;96;;RUE;DE BELFORT;56,52;56;4;Appartement
9924;33 - 63;13;;RUE;DU COUVENT;87,51;86;3;Appartement
9925;33 - 63;4;;RUE;SAINT JOSEPH;44,96;44;1;Appartement
9926;33 - 63;32;;IMP;SAINT AMAND;134,59;131;4;Appartement
9927;33 - 80;2;;RUE;DES PROMENADES;55;64;3;Appartement
9928;33 - 108;22;;RUE;ROUGET DE L ISLE;43,5;44;2;Appartement
9929;33 - 119;9;;RUE;DU HUIT MAI 1945;92,6;90;5;Appartement
9930;33 - 199;1;;RUE;ARMAND DANEY;50,61;50;2;Appartement
9931;33 - 199;23;C;ALL;DE LA NEYRA;57;57;4;Maison
9932;33 - 281;20;;IMP;DE L EMAILLERIE;97,07;94;5;Maison
9933;33 - 318;2;;ALL;PISSARRO;77,67;75;4;Appartement
9934;33 - 522;5;;RUE;SALVADOR ALLENDE;20,03;21;1;Appartement
9935;33 - 550;9001;;RES;SARCIGNAN;42,44;42;2;Appartement
9936;34 - 23;9001;;RES;LES GEMEAUX;18,05;18;1;Appartement
9937;34 - 79;1;;RUE;HAUTE DU PIOCH;66,03;65;3;Appartement
9938;34 - 154;9001;;AV;COMTES DE MELGUEIL  CARNON;22,4;24;1;Appartement
9939;34 - 172;35;;RUE;SAINT CLEOPHAS;67,48;67;3;Appartement
9940;34 - 172;21;;AV;ROGER COUDERC;60,98;60;3;Appartement
9941;34 - 301;27;;RUE;MONTMORENCY;47,25;55;3;Appartement
9942;34 - 344;95;;ALL;DES COLVERTS;20,8;21;1;Appartement
9943;35 - 287;255;;RUE;DE LA FOURBERIE;35,37;66;2;Appartement
9944;37 - 132;24;B;AV;ARISTIDE BRIAND;55,48;55;2;Appartement
9945;40 - 46;372;;RUE;DES SABLES;40,64;43;2;Appartement
9946;40 - 279;3;B;RUE;DE LA PAIX;72,78;73;3;Appartement
9947;40 - 287;205;;RUE;DU LAC EN BERNON;50;40;3;Appartement
9948;40 - 310;2;A;ALL;DES CHENES LIEGE;60,38;60;3;Appartement
9949;40 - 317;52;;AV;DU GEN DE GAULLE;67,95;68;3;Appartement
9950;42 - 95;7;;RUE;FERDINAND BUISSON;68,02;60;3;Appartement
9951;42 - 279;4;;RUE;DU HUIT MAI;95;45;2;Appartement
9952;44 - 109;12;;RUE;DE L ABBAYE;17,66;19;1;Appartement
9953;44 - 109;104;;RUE;DU CORPS DE GARDE;64,57;64;3;Appartement
9954;45 - 147;13;;RUE;HECTOR BERLIOZ;73,89;76;4;Appartement
9955;45 - 315;21;;RUE;PORTE DE SOLOGNE;44,26;50;2;Appartement
9956;49 - 7;90;;RUE;SAUMUROISE;55,4;57;3;Appartement
9957;49 - 90;22;;RUE;DU PORT;75,79;78;4;Appartement
9958;50 - 147;6;;PL;DE LA POISSONNERIE;92,5;97;4;Appartement
9959;50 - 502;211;;RUE;MAL JUIN;62,51;62;3;Appartement
9960;54 - 184;25;;RUE;D'OZERAILLES RES.SQ.GALLE;56,66;56;3;Appartement
9961;54 - 395;26;;RUE;JEAN LAMOUR;72,3;70;3;Appartement
9962;54 - 395;2;B;PROM;EMILIE DU CHATELET;98,21;101;3;Appartement
9963;54 - 578;23;;BD;DOCTEUR CATTENOZ;113,35;110;4;Appartement
9964;56 - 114;6080;;CHEM;DE PORT MARIA;56,05;58;3;Maison
9965;56 - 121;9;;RUE;BEAUVAIS;20;20;1;Appartement
9966;59 - 350;2;;RUE;VANTROYEN;67,2;67;4;Appartement
9967;59 - 350;14;;RUE;D EMMERIN;25,88;26;1;Appartement
9968;59 - 350;47;;RUE;FOURIER;70,2;75;3;Appartement
9969;59 - 350;3;;RUE;RACINE;23,63;25;2;Appartement
9970;59 - 512;203;;RUE;DE LILLE;63,17;63;3;Appartement
9971;59 - 527;26;;AV;DU MARECHAL DE LATTRE;42,3;38;2;Appartement
9972;59 - 527;68;;RUE;SAINTE HELENE;72,65;71;3;Appartement
9973;59 - 599;11;;RUE;DES PEIGNEURS;57,72;53;2;Appartement
9974;59 - 606;6;;RUE;DES ROYES;24,2;23;1;Appartement
9975;60 - 509;51;;RUE;CHARLES LESCOT;79,87;91;3;Appartement
9976;63 - 300;36;B;BD;DESAIX;116,47;113;4;Appartement
9977;63 - 430;42;;AV;BERANGER;53,94;54;3;Appartement
9978;69 - 29;18;;RUE;DES GENETS;37,12;41;1;Appartement
9979;69 - 142;5;;RUE;DU PENSIONNAT;33,02;35;2;Appartement
9980;69 - 143;1;;AV;AUGUSTE WISSEL;45,79;44;2;Appartement
9981;69 - 143;2;;PL;AMPERE;21,77;24;1;Appartement
9982;69 - 168;673;;CHE;DE LA PLAGE;88,31;100;4;Appartement
9983;69 - 233;6;;RUE;DE LA REPUBLIQUE;83,83;83;4;Maison
9984;69 - 264;25;;RUE;STE CLAIRE;36,37;42;2;Appartement
9985;72 - 181;9;;AV;PIERRE MENDES FRANCE;16,23;16;1;Appartement
9986;72 - 181;67;;AV;FRANCOIS MITTERRAND;94,18;94;4;Appartement
9987;74 - 56;82;;PL;EDMOND DESAILLOUD;20,39;21;1;Appartement
9988;75 - 106;72;;RUE;D ASSAS;253,3;200;5;Appartement
9989;75 - 108;31;;RUE;BOISSY D ANGLAS;37,9;37;2;Appartement
9990;75 - 110;4;;RUE;MARTEL;37,11;38;2;Appartement
9991;75 - 110;8;;RUE;MARIE ET LOUISE;21,15;22;2;Appartement
9992;75 - 110;10;;RUE;LOUIS BLANC;28,52;28;1;Appartement
9993;75 - 111;115;;RUE;OBERKAMPF;33,09;14;1;Appartement
9994;75 - 111;19;;RUE;DES BLUETS;35,4;35;2;Appartement
9995;75 - 112;40;;RUE;DU RENDEZ VOUS;93,11;92;4;Appartement
9996;75 - 112;60;;AV;DU GAL MICHEL BIZOT;53,48;48;3;Appartement
9997;75 - 114;10;;PAS;MONTBRUN;22,71;25;1;Appartement
9998;75 - 114;177;;BD;BRUNE;45,12;44;1;Appartement
9999;75 - 115;15;;RUE;DES MORILLONS;57,2;57;3;Appartement
10000;75 - 115;6;;RUE;MIOLLIS;30,53;30;2;Appartement
10001;75 - 115;109;;BD;DE GRENELLE;31,47;31;2;Appartement
10002;75 - 115;4;A;RUE;ROBERT DE FLERS;42,54;42;1;Appartement
10003;75 - 116;93;;RUE;DE LA FAISANDERIE;33;32;1;Appartement
10004;75 - 116;2;;RUE;DEBROUSSE;60,24;58;3;Appartement
10005;75 - 117;14;;RUE;DU DOBROPOL;42,5;43;1;Appartement
10006;75 - 117;17;;AV;DE CLICHY;70,17;61;1;Appartement
10007;75 - 117;51;;RUE;DES BATIGNOLLES;36,42;33;2;Appartement
10008;75 - 118;11;A;RUE;SAINT LUC;57,45;58;3;Appartement
10009;75 - 118;38;;RUE;STEPHENSON;21,83;22;1;Appartement
10010;75 - 119;92;;AV;DE FLANDRE;30,32;27;1;Appartement
10011;75 - 119;76;;RUE;DE CRIMEE;86,32;86;3;Appartement
10012;75 - 120;343;;RUE;DES PYRENEES;21,52;21;1;Appartement
10013;75 - 120;31;;RUE;DU CLOS;22,7;23;2;Appartement
10014;76 - 351;31;;BD;AMIRAL MOUCHEZ;67,73;67;2;Appartement
10015;76 - 351;195;;BD;FRANCOIS 1ER;53,21;56;3;Appartement
10016;76 - 599;601;;RTE;DE LYONS;43,55;42;2;Appartement
10017;77 - 153;67;;AV;DU MARECHAL LECLERC;40,8;40;2;Appartement
10018;77 - 249;36;;RUE;DU LYS;97,29;82;4;Maison
10019;77 - 305;34;;RUE;DES CHESNOIS;77,88;78;4;Appartement
10020;77 - 337;4;;CRS;DU BUISSON;58,4;60;3;Appartement
10021;77 - 390;17;;AV;DU MAL FOCH;32,32;36;2;Appartement
10022;77 - 390;8;;AV;DU GEN LECLERC;40,75;35;1;Appartement
10023;78 - 190;1;B;RUE;DE L ILE;22,95;22;2;Appartement
10024;78 - 224;10;;RES;DES PLANTES;65,51;65;4;Maison
10025;78 - 297;6;;BD;DU CHATEAU;18,82;19;1;Appartement
10026;78 - 322;2;F;ALL;DE VILVERT;62,61;60;3;Appartement
10027;78 - 358;126;;AV;GENERAL DE GAULLE;67,35;67;2;Appartement
10028;78 - 383;29;;RUE;DE BRIE;49,08;48;2;Appartement
10029;78 - 401;6;;RUE;DES RUELLES;10,78;27;3;Appartement
10030;78 - 517;8;;RUE;ANTOINETTE VERNES;70,94;73;3;Appartement
10031;78 - 551;31;;RUE;DU VIEUX MARCHE;27,98;27;2;Appartement
10032;78 - 586;30;;RUE;DE SAINT EXUPERY;109,68;100;5;Appartement
10033;78 - 646;21;;RUE;MONTBAURON;45,93;63;3;Appartement
10034;80 - 368;2;;PL;JEAN JAURES;41,2;45;2;Appartement
10035;80 - 524;4;;RLE;DES FILLES;121,2;102;5;Maison
10036;83 - 19;558;;CHE;DE LA MER;33,98;34;2;Appartement
10037;83 - 118;360;;AV;AURELIENNE;24;22;1;Appartement
10038;83 - 126;220;;AV;NOEL VERLAQUE;61;62;4;Appartement
10039;83 - 153;9001;;RES;DU PIN ROLLAND;31,75;32;2;Appartement
10040;84 - 7;2;A;RUE;MAURICE UTRILLO;44,12;44;2;Appartement
10041;84 - 106;50;;AV;JEAN JAURES;36,4;37;2;Appartement
10042;84 - 106;50;;AV;JEAN JAURES;35,78;37;2;Appartement
10043;87 - 85;32;;RUE;DU CONSULAT;60,01;60;3;Appartement
10044;87 - 85;11;;PL;DES BANCS;66,55;67;2;Appartement
10045;91 - 215;11;;AV;DU MARECHAL NEY;98,47;98;5;Appartement
10046;91 - 223;16;;RUE;DE CHARPEAUX;37;37;2;Appartement
10047;91 - 272;12;;RUE;DU VALLON;62,5;52;2;Appartement
10048;91 - 377;14;;CHE;DE LA VIEILLE VIGNE;71,31;72;3;Appartement
10049;91 - 386;1;;RUE;LA FONTAINE;75,64;75;4;Appartement
10050;91 - 405;36;;RUE;DE LA CHAPELLE ST BLAISE;93,59;93;4;Maison
10051;91 - 477;8;;RUE;PIERRE GILLES DE GENNES;91,34;91;5;Appartement
10052;91 - 521;2;;AV;GAMBETTA;54;52;2;Appartement
10053;91 - 521;30;;RUE;DU CHATEAU D'EAU;61,47;58;3;Appartement
10054;91 - 552;16;;RUE;DU DOCTEUR LOUIS BABIN;71,88;72;4;Appartement
10055;91 - 570;18;;RUE;BIZET;106,11;106;5;Appartement
10056;91 - 589;33;;RUE;HENRI DUNANT;48,29;47;1;Appartement
10057;91 - 645;6;;RES;CLOS DE VERRIERES;73,14;74;4;Appartement
10058;91 - 661;2;;RUE;DES PIVOINES;62,55;63;3;Appartement
10059;92 - 2;210;;RUE;DES RABATS;36,98;41;2;Appartement
10060;92 - 4;54;;RUE;HENRI POINCARE;80;80;4;Appartement
10061;92 - 7;4;;ALL;ANATOLE FRANCE;48,31;48;2;Appartement
10062;92 - 12;6;;IMP;BELLEVUE;34,79;38;2;Appartement
10063;92 - 20;33;;AV;DE VERDUN;66,23;80;3;Appartement
10064;92 - 26;27;;BD;DE VERDUN;66,28;68;3;Appartement
10065;92 - 26;40;;AV;PASTEUR;78,07;77;4;Appartement
10066;92 - 33;2;;RUE;DU DOCTEUR DEBAT;71,86;75;3;Appartement
10067;92 - 33;53;;RUE;JEAN MERMOZ;28,77;26;1;Appartement
10068;92 - 40;21;;RUE;D ESTIENNE D ORVES;45;45;2;Appartement
10069;92 - 49;9;;RUE;DE LA VANNE;69,78;68;4;Appartement
10070;92 - 50;9;;RUE;HENRI BARBUSSE;43,19;30;2;Appartement
10071;92 - 73;81;;RUE;CARNOT;13;12;1;Appartement
10072;92 - 75;2;;AV;VICTOR HUGO;69,1;73;3;Appartement
10073;93 - 1;1;;CHE;DU MARCREUX;59,49;59;3;Appartement
10074;93 - 6;11;;RUE;ANTOINE PANIER;43,9;46;2;Appartement
10075;93 - 33;1;;RUE;DES FOUGERES;48,89;50;3;Appartement
10076;93 - 48;71;;RUE;DES SORINS;19,82;20;1;Appartement
10077;93 - 49;2;B;AV;PAUL DOUMER;102,37;103;5;Appartement
10078;93 - 51;3;;RUE;DE REIMS;79,28;80;4;Appartement
10079;93 - 59;190;;AV;ELISEE RECLUS;26,3;26;1;Appartement
10080;93 - 61;7;;RUE;DU CPT SOYER;26,02;25;2;Appartement
10081;93 - 62;1;;PL;GEN DE GAULLE;49,85;49;2;Appartement
10082;93 - 71;1;;ALL;MARYSE HILSZ;67,58;65;3;Appartement
10083;93 - 74;75;;AV;DU GEN CHARLES DE GAULLE;71,37;71;3;Appartement
10084;93 - 77;18;;RUE;DES CAPUCINES;34,9;35;2;Appartement
10085;94 - 2;73;;RUE;DE CHARENTON;34,21;25;1;Appartement
10086;94 - 2;9;;RUE;EMILE GOEURY;23,57;24;1;Appartement
10087;94 - 18;37;;QUAI;CARRIERES;66,75;67;3;Appartement
10088;94 - 28;12;;RUE;DE LA PLUMERETTE;57,21;56;3;Appartement
10089;94 - 33;23;;RUE;MAUCONSEIL;66,02;66;4;Appartement
10090;94 - 38;2;;RUE;DE LA BERGERE;86,87;86;4;Appartement
10091;94 - 38;71;;BD;PAUL VAILLANT COUTURIER;51,49;50;3;Appartement
10092;94 - 44;5;;RUE;DES HERBAGES DE SEZE;57,2;57;3;Appartement
10093;94 - 58;72;;AV;LEDRU ROLLIN;22,44;24;2;Appartement
10094;94 - 65;5;;RES;LES CLOSEAUX;66,51;70;4;Appartement
10095;94 - 65;36;;AV;LUCIEN GRELINGER;39,48;38;2;Appartement
10096;94 - 67;2;B;RUE;DE L ABBE POUCHARD;30,27;29;1;Appartement
10097;94 - 68;50;;AV;DE LA LIBERATION;49,26;48;2;Appartement
10098;94 - 80;112;;BD;DE LA LIBERATION;53,04;47;3;Appartement
10099;94 - 80;36;;RUE;JEAN MOULIN;16,38;15;1;Appartement
10100;95 - 52;32;;RUE;EDOUARD BOURCHY;30,28;29;2;Appartement
10101;95 - 203;6;;RUE;HENRI DUNANT;75;70;4;Maison
10102;95 - 268;4;;RUE;JEAN GOUJON;73,47;70;3;Appartement
10103;95 - 306;19;;RUE;AUX PERLES;38,83;38;2;Appartement
10104;95 - 313;4;;ALL;DU PALLADIO;39,15;39;2;Appartement
10105;95 - 424;3;;RUE;AUGUSTE RENOIR;58,51;58;3;Appartement
10106;95 - 424;1;;RUE;DU PLESSIS BOUCHARD;67,56;67;3;Appartement
10107;95 - 427;7;;AV;MAURICE UTRILLO;71;70;4;Appartement
10108;95 - 539;78;;RUE;DE LA PLANCHETTE;77,99;75;3;Appartement
10109;95 - 539;31;;RUE;DE PARIS;67,22;64;4;Maison
10110;95 - 572;12;;QUAI;DU HALAGE;25,25;29;1;Appartement
10111;95 - 641;;;RUE;PIERRE CURIE;23,05;23;1;Appartement
10112;974 - 415;2;;RUE;JACQUOT;49,58;50;2;Appartement
10113;01 - 153;923;;RTE;DE MURY;99,39;86;4;Maison
10114;01 - 210;541;;RUE;DES MONTS JURA;51,99;56;2;Appartement
10115;04 - 94;7023;;;LES HAUTES PLAINES;27,22;27;1;Appartement
10116;05 - 23;11;B;RUE;PASTEUR;78,84;78;4;Appartement
10117;06 - 4;882;;CHE;DE RABIAC ESTAGNOL;68,61;68;3;Appartement
10118;06 - 30;158;;CHE;GARIBONDY;36,27;37;2;Appartement
10119;06 - 30;9999;;AV;GEORGES POMPIDOU;65,75;66;3;Appartement
10120;06 - 85;6;;RUE;DU CHERCHE MIDI;50,03;50;2;Appartement
10121;06 - 88;98;;AV;VALROSE;42,14;46;2;Appartement
10122;06 - 150;181;;CHE;DES OLIVIERS;96,58;91;4;Maison
10123;06 - 155;736;;CD;135;115,11;100;4;Maison
10124;07 - 10;20;;AV;DE L EUROPE;83,6;82;4;Appartement
10125;10 - 387;115;;AV;PIERRE BROSSOLETTE;21,08;20;1;Appartement
10126;10 - 387;6;;RUE;MARCELLIN BERTHELOT;45,88;35;2;Maison
10127;11 - 262;19;;RUE;DU BEFFROI;25,65;21;1;Appartement
10128;11 - 262;477;;RES;BALCONS D L MEDITERRANEE 2;21,02;26;2;Appartement
10129;11 - 262;40;;RUE;DE LA CORNICHE;74,36;74;2;Maison
10130;13 - 5;9001;;RES;LES LAVANDES;88,47;92;5;Appartement
10131;13 - 5;9291;;;LES CREISSAUDS OUEST;95,78;96;4;Appartement
10132;13 - 28;82;;RUE;PORTALIS;75,72;75;4;Appartement
10133;13 - 28;250;;CHE;ARENE CROS;20,78;20;2;Appartement
10134;13 - 201;44;;RUE;DU COQ;71,65;71;3;Appartement
10135;13 - 201;13;;RUE;GLANDEVES;27,12;28;1;Appartement
10136;13 - 201;70;;RUE;CURIOL;23,73;34;2;Appartement
10137;13 - 202;22;;RUE;PORTE BAUSSENQUE;64,16;59;2;Appartement
10138;13 - 202;28;;RUE;DE LA LOGE;96,2;105;4;Appartement
10139;13 - 202;55;;RUE;DE FORBIN;38,43;14;1;Appartement
10140;13 - 204;68;;BD;ROUGIER;27,72;30;2;Appartement
10141;13 - 205;67;;RUE;STE CECILE;41,04;44;2;Appartement
10142;13 - 208;11;;PARC;JEAN MERMOZ;121,66;113;5;Appartement
10143;13 - 208;46;;RUE;DES MOUSSES;28,86;29;1;Appartement
10144;13 - 209;391;;BD;ROMAIN ROLLAND;61,1;61;4;Appartement
10145;13 - 211;16;;TRA;DE LA DOMINIQUE;68,4;67;3;Appartement
10146;13 - 211;79;;BD;DE LA POMME;79,74;81;4;Appartement
10147;14 - 715;8;;RUE;PAUL BESSON;40,87;40;2;Appartement
10148;14 - 715;35;;AV;DU PT J F KENNEDY;41,76;42;2;Appartement
10149;17 - 299;67;;AV;CHARLES DE GAULLE;43,16;43;2;Appartement
10150;18 - 15;24;B;RUE;SAINTE ANNE;30,05;30;1;Appartement
10151;22 - 106;2;;RUE;DU PETIT CLOS;44,28;43;2;Appartement
10152;22 - 278;2;;RUE;FREDERIC LE GUYADER;89,93;90;4;Appartement
10153;26 - 58;4;;ALL;DES FREGATES;131,02;113;5;Maison
10154;26 - 58;4;;AV;JEAN MOULIN;46,78;47;2;Appartement
10155;26 - 58;12;;ALL;DES NIDS;92,45;90;5;Maison
10156;26 - 116;9002;A;PL;DU CHAMPS DE MARS;275;61;3;Appartement
10157;26 - 362;7;B;RUE;ANDRE LACROIX;26,42;29;1;Appartement
10158;26 - 362;71;;AV;DE LA MARNE;57,8;60;3;Appartement
10159;27 - 229;9;;RUE;DE PANAMA;48,76;52;3;Appartement
10160;28 - 134;4;;RUE;PORTE CHARTRAINE;24,2;25;1;Appartement
10161;28 - 140;28;;RUE;ALFRED MANCEAU;78,47;79;3;Appartement
10162;29 - 19;27;;RUE;TURENNE;59,58;67;2;Appartement
10163;2A - 4;2;;PARC;BERTHAULT LES DRAGONNIERS;53,75;56;2;Appartement
10164;30 - 11;595;;BD;DU MIDI;53,55;56;3;Appartement
10165;30 - 62;3;B;RUE;DE L ECOLE;31;68;3;Appartement
10166;30 - 133;173;;RUE;D ESTIENNE D ORVES;25,97;26;1;Appartement
10167;30 - 166;12;;RUE;DES PROVENCALES;38,79;42;2;Appartement
10168;31 - 555;16;;PL;ROGUET;24,63;25;1;Appartement
10169;31 - 555;26;;RUE;CERVANTES;74,88;74;4;Appartement
10170;31 - 555;10;;RUE;PAUL VERLAINE;51,75;52;3;Appartement
10171;33 - 9;33;;BD;MARECHAL LECLERC;34,04;34;2;Appartement
10172;33 - 11;59;;BD;DE L AERIUM;40,63;40;2;Maison
10173;33 - 39;45;;RUE;DES MURIERS;56,46;50;2;Appartement
10174;33 - 39;290;;BD;JEAN JACQUES BOSC;110,86;110;4;Appartement
10175;33 - 63;8;;RUE;MALBEC;68,75;69;3;Appartement
10176;33 - 63;169;;RUE;NAUJAC;52,41;59;2;Appartement
10177;33 - 69;2;;RUE;DES GIRONDINS;57,99;58;3;Appartement
10178;33 - 96;24;;RUE;RACINE;23,6;22;1;Appartement
10179;33 - 167;9000;;CHE;DES PLATEAUX;41,95;42;2;Appartement
10180;33 - 192;243;;CRS;DU GENERAL DE GAULLE;22,21;32;2;Appartement
10181;33 - 199;8;;AV;MAL DE LATTRE DE TASSIGNY;38,18;38;2;Appartement
10182;33 - 236;41;;AV;EST CAP FERRET;29,91;26;1;Appartement
10183;33 - 273;66;;AV;COL PIERRE BOURGOIN;35,22;34;2;Appartement
10184;33 - 281;2;;SQ;DES BOSQUETS;63,08;62;3;Appartement
10185;33 - 281;81;;AV;ARISTIDE BRIAND;68,08;68;3;Appartement
10186;33 - 422;101;;RUE;DE CHANTEGRIVE;55,01;55;3;Appartement
10187;33 - 506;6;;RUE;DES JARDINIERS;54,17;55;3;Appartement
10188;33 - 514;23;;AV;DE LA PTE DE GRAVE;21,96;24;1;Appartement
10189;33 - 527;32;;RUE;DU PORT;25;26;2;Appartement
10190;33 - 550;13;;RUE;MAURIAC;77,94;100;4;Maison
10191;34 - 172;14;;AV;EMILE DIACON;22,88;22;1;Appartement
10192;34 - 172;4;;RUE;RIGAUD;78,26;83;3;Appartement
10193;34 - 288;22;;RUE;DU VIDOURLE;48,55;52;2;Appartement
10194;34 - 301;19;;RUE;LAZARE CARNOT;22,32;32;2;Appartement
10195;34 - 301;45;;RUE;HENRI BARBUSSE;31,31;30;2;Appartement
10196;34 - 301;21;;RUE;DES PINS;105,13;82;5;Maison
10197;35 - 66;8;;RUE;CALARASI;62,06;62;3;Appartement
10198;35 - 152;15;C;RUE;DES ECOLES;44,66;45;2;Appartement
10199;35 - 204;2;;RUE;DU CLOS TINEL;45,25;45;2;Appartement
10200;35 - 206;3;;RUE;HANNAH ARENDT;43,58;44;2;Appartement
10201;35 - 238;20;;RUE;DE LA VISITATION;10,41;15;1;Appartement
10202;35 - 256;2;;PL;DU CENTRE;32,3;30;1;Appartement
10203;35 - 288;2;;RUE;DES 6 FR RUELLAN;4936;52;3;Appartement
10204;35 - 288;46;;BD;DES DEPORTES;18,94;19;1;Appartement
10205;37 - 195;28;;RUE;DE LA PARMENTIERE;52,52;52;3;Appartement
10206;37 - 261;47;;RUE;AUGUSTE COMTE;54,66;65;2;Appartement
10207;37 - 261;9;;RUE;DE LA LAMPROIE;36,06;37;1;Appartement
10208;38 - 185;58;;BD;MAL FOCH;63,24;60;3;Appartement
10209;38 - 185;35;B;CHE;MENEY;63,48;63;3;Appartement
10210;39 - 478;11;;BD;BELLEVUE;118,03;82;3;Appartement
10211;40 - 88;27;;RUE;DE LA CROIX BLANCHE;25,05;27;1;Appartement
10212;40 - 88;56;;AV;GEORGES CLEMENCEAU;20,27;21;1;Appartement
10213;40 - 187;14;;RES;LES MOTELS DU GOLF;22,15;23;2;Appartement
10214;40 - 273;1955;;AV;DU QUARTIER NEUF;46,86;47;2;Appartement
10215;40 - 296;9001;;AV;CHAMBRELENT;29,93;30;2;Appartement
10216;40 - 317;18;;AV;LAHARIE;97,01;96;4;Maison
10217;42 - 11;33;;RUE;DU HUIT MAI;29,61;30;1;Appartement
10218;42 - 71;4;;BD;DES ETINES;64,61;63;3;Appartement
10219;42 - 207;3;;AV;SADI CARNOT;63,75;65;2;Appartement
10220;42 - 299;38;;RUE;DE LA VERDIERE;55,2;54;3;Appartement
10221;44 - 20;15;T;RUE;COMMUNE DE PARIS 1871;85,9;85;5;Appartement
10222;44 - 55;9;;AV;DES ROSEAUX;37,31;37;2;Appartement
10223;44 - 109;4;;RUE;JULES LAUNAY;34,43;35;2;Appartement
10224;44 - 109;2;;ALL;DES PINSONS;59,3;59;2;Appartement
10225;44 - 125;4;;ALL;DU PARC DE GUMBRASSE;48,26;56;3;Maison
10226;44 - 132;27;;AV;BOULANGER;21,79;13;1;Appartement
10227;45 - 234;3;;RUE;VIEILLE LEVEE;49,58;31;3;Appartement
10228;45 - 285;123;;RUE;GAMBETTA;64,86;64;4;Appartement
10229;47 - 324;1;;ALL;MONTLABOUR;80,83;82;3;Maison
10230;49 - 7;2;;RUE;LIONNAISE;61,17;75;3;Appartement
10231;49 - 7;16;;RUE;GARNIER;22,85;22;1;Appartement
10232;50 - 218;43;;RUE;COURAYE;28;28;1;Appartement
10233;51 - 152;2;;RUE;GEORGES LEGROS;103,57;127;4;Appartement
10234;51 - 454;2;;ALL;CLAUDE MONET;48,21;48;2;Appartement
10235;53 - 130;19;;RUE;DE LA MUTUALITE;62,25;56;2;Appartement
10236;54 - 395;67;;RUE;GABRIEL MOUILLERON;51,86;51;3;Appartement
10237;54 - 431;57;;RUE;DU VINGT SIXIEME BCP;134,3;134;5;Appartement
10238;56 - 7;3;;RUE;LOUIS BILLET;42;41;2;Appartement
10239;56 - 55;2;;RUE;PASTEUR;45,34;44;2;Appartement
10240;56 - 98;55;;RUE;ALFRED DE MUSSET;87,3;71;5;Appartement
10241;56 - 114;6080;;CHEM;DE PORT MARIA;32,71;32;2;Maison
10242;56 - 186;3;;RUE;DES RAMANDEUSES;33;39;2;Appartement
10243;56 - 262;34;;RUE;EDOUARD HERRIOT;73,56;75;3;Appartement
10244;59 - 350;110;;RUE;DU CHEVALIER FRANCAIS;90,34;89;4;Appartement
10245;59 - 350;1;B;PL;VANHOENACKER;23,71;23;1;Appartement
10246;59 - 512;39;;RUE;CLAUDE LORRAIN;235,39;229;4;Appartement
10247;59 - 527;102;;RUE;DE LILLE;38,64;35;2;Appartement
10248;69 - 68;34;;RUE;DE LA REPUBLIQUE;16,17;16;1;Appartement
10249;69 - 89;3;;IMP;DES GDES TERRES;63,17;62;3;Appartement
10250;69 - 91;3;;PL;HENRI BARBUSSE;69,7;67;3;Appartement
10251;69 - 100;37;;RUE;DAISY GEORGES MARTIN;128,76;134;5;Appartement
10252;69 - 152;184;;RUE;DES MARTYRS DE LA LIBERATI;65,96;65;3;Appartement
